arxiv_id,title,abstract,ai_rule,ai_true
2511.19844,Pronounced scale-dependent charge carrier density in graphene quantum Hall devices,"The miniaturization of quantum Hall resistance standards (QHRS) using epitaxial graphene on silicon carbide necessitates understanding how device dimensions impact performance. This study reveals a pronounced scale-dependent carrier density in graphene Hall devices: under electron doping, carrier density decreases with increasing channel width (Wd), while the opposite occurs under hole doping. This phenomenon, most significant for Wd less than 400 um, directly influences the onset of magnetic field required for quantization. Fermi velocity measurements and angle-resolved photoemission spectroscopy (ARPES) analysis indicate that band structure modifications and electron-electron interactions ",surrogate,
2310.13634,Optimising the exchange of Majorana zero modes in a quantum nanowire network,"Determination of optimal control protocols for Majorana zero modes during their exchange is a crucial step towards the realisation of the topological quantum computer. In this paper, we study the finite-time exchange process of Majorana zero modes on a network formed by coupled p-wave superconducting one-dimensional nanowires. We provide scalable computational tools for optimising such an exchange process relying on deep learning techniques. To accomplish the scalability, we derive and implement an analytic formula for the gradient of the quantum infidelity which measures the error in the topological quantum gate generation in the Majorana zero modes exchange. Our optimisation strategy relie",surrogate,
2503.17124,High-throughput study of kagome compounds in the AV3Sb5 family,"The kagome lattice has emerged as a fertile ground for exotic quantum phenomena, including superconductivity, charge density waves, and topologically nontrivial states. While AV3Sb5 (A = K, Rb, Cs) compounds have been extensively studied in this context, the broader AB3C5 family remains largely unexplored. In this work, we employ machine-learning-accelerated, high-throughput density functional theory calculations to systematically investigate the stability and electronic properties of kagome materials derived from atomic substitutions in the AV3Sb5 structure. We identify 36 promising candidates that are thermodynamically stable, with many more close to the convex hull. Stable compounds are n",surrogate,
2212.06071,3DSC - A New Dataset of Superconductors Including Crystal Structures,"Data-driven methods, in particular machine learning, can help to speed up the discovery of new materials by finding hidden patterns in existing data and using them to identify promising candidate materials. In the case of superconductors, which are a highly interesting but also a complex class of materials with many relevant applications, the use of data science tools is to date slowed down by a lack of accessible data. In this work, we present a new and publicly available superconductivity dataset ('3DSC'), featuring the critical temperature $T_\mathrm{c}$ of superconducting materials additionally to tested non-superconductors. In contrast to existing databases such as the SuperCon database",surrogate,
2308.02315,Autonomous Discovery of Tough Structures,"A key feature of mechanical structures ranging from crumple zones in cars to padding in packaging is their ability to provide protection by absorbing mechanical energy. Designing structures to efficiently meet these needs has profound implications on safety, weight, efficiency, and cost. Despite the wide varieties of systems that must be protected, a unifying design principle is that protective structures should exhibit a high energy-absorbing efficiency, or that they should absorb as much energy as possible without mechanical stresses rising to levels that damage the system. However, progress in increasing the efficiency of such structures has been slow due to the need to test using tedious",autonomous_exp,
2505.10393,Uncovering Magnetic Phases with Synthetic Data and Physics-Informed Training,"We investigate the efficient learning of magnetic phases using artificial neural networks trained on synthetic data, combining computational simplicity with physics-informed strategies. Focusing on the diluted Ising model, which lacks an exact analytical solution, we explore two complementary approaches: a supervised classification using simple dense neural networks, and an unsupervised detection of phase transitions using convolutional autoencoders trained solely on idealized spin configurations. To enhance model performance, we incorporate two key forms of physics-informed guidance. First, we exploit architectural biases which preferentially amplify features related to symmetry breaking. S",surrogate,
2606.25742,Barocaloric phase transformation from data efficient fine-tuning of machine learned interatomic potentials,"Solid-state cooling based on the barocaloric (BC) effect has emerged as promising environmentally friendly prospective alternative to conventional vapor-compression refrigeration. The search for suitable BC materials relies on efficient atomistic simulations of their phase behavior. Machine-learned interatomic potentials (MLIPs) enable such simulations at near density functional theory (DFT) accuracy, but generating the required DFT training data remains computationally demanding, which motivates development of strategies that reduce the amount of data needed to train accurate models. In this work, we use a prototypical BC material, ammonium sulfate, as a model system and investigate how sma",gnn_potential,
2507.10705,Neural Network-Augmented Pfaffian Wave-functions for Scalable Simulations of Interacting Fermions,"Developing accurate numerical methods for strongly interacting fermions is crucial for improving our understanding of various quantum many-body phenomena, especially unconventional superconductivity. Recently, neural quantum states have emerged as a promising approach for studying correlated fermions, highlighted by the hidden fermion and backflow methods, which use neural networks to model corrections to fermionic quasiparticle orbitals. In this work, we expand these ideas to the space of Pfaffians, a wave-function that naturally expresses superconducting pairings, and propose the hidden fermion Pfaffian state (HFPS), which flexibly represents both unpaired and superconducting phases and sc",nqs,
2312.16073,Compositional Search of Stable Crystalline Structures in Multi-Component Alloys Using Generative Diffusion Models,"Exploring the vast composition space of multi-component alloys presents a challenging task for both \textit{ab initio} (first principles) and experimental methods due to the time-consuming procedures involved. This ultimately impedes the discovery of novel, stable materials that may display exceptional properties. Here, the Crystal Diffusion Variational Autoencoder (CDVAE) model is adapted to characterize the stable compositions of a well studied multi-component alloy, NiFeCr, with two distinct crystalline phases known to be stable across its compositional space. To this end, novel extensions to CDVAE were proposed, enhancing the model's ability to reconstruct configurations from their laten",generative,
2506.04410,Matter-of-Fact: A Benchmark for Verifying the Feasibility of Literature-Supported Claims in Materials Science,"Contemporary approaches to assisted scientific discovery use language models to automatically generate large numbers of potential hypothesis to test, while also automatically generating code-based experiments to test those hypotheses. While hypotheses can be comparatively inexpensive to generate, automated experiments can be costly, particularly when run at scale (i.e. thousands of experiments). Developing the capacity to filter hypotheses based on their feasibility would allow discovery systems to run at scale, while increasing their likelihood of making significant discoveries. In this work we introduce Matter-of-Fact, a challenge dataset for determining the feasibility of hypotheses frame",llm,
2604.16433,Signature of Unconventional Superconductivity in the High Temperature Normal State Resistivity,"Unconventional superconductivity remains one of the central unsolved problems in quantum materials, and revealing its connection to the normal state is widely believed to be key to uncovering the pairing mechanism. Previous efforts have largely focused on the temperature range immediately above the superconducting transition, where specific scattering channels-such as strange-metal transport-have been identified as sharing a possible microscopic origin with superconductivity. Here, using machine learning, we demonstrate a strong correlation between normal-state resistivity and superconductivity in Fe-based superconductors. Remarkably, the predictive information reside in a wide window of 150",surrogate,
2511.04932,Representational power of selected neural network quantum states in second quantization,"Neural network quantum states emerge as a promising tool for solving quantum many-body problems. However, its successes and limitations are still not well-understood in particular for Fermions with complex sign structures. Based on our recent work [J. Chem. Theory Comput. 21, 10252-10262 (2025)], we generalizes the restricted Boltzmann machine to a more general class of states for Fermions, formed by product of `neurons' and hence will be referred to as neuron product states (NPS). NPS builds correlation in a very different way, compared with the closely related correlator product states (CPS) [H. J. Changlani, et al. Phys. Rev. B, 80, 245116 (2009)], which use full-rank local correlators. I",nqs,
2603.11590,High-pressure phase stability and superconductivity in La-Zr-H hydrides,"Hydrogen-rich ternary hydrides are promising candidates for high-Tc superconductivity at megabar pressures, yet their chemical space is vast and largely unexplored. Combining evolutionary structure searches with first-principles calculations, we comprehensively investigate the La-Zr-H ternary system in the 150-300 GPa pressure range. Zero-point energy-corrected convex hull analysis identifies multiple stable superconducting phases, including R3m-Zr2H17 at 300 GPa and P6/mmm-LaZr2H24 at 200 GPa, both of which are thermodynamically and dynamically stable and exhibit strong electron-phonon coupling. Solution of the Eliashberg equations predicts high superconducting transition temperatures of Tc",surrogate,
2411.13037,Machine Learning for Arbitrary Single-Qubit Rotations on an Embedded Device,"Here we present a technique for using machine learning (ML) for single-qubit gate synthesis on field programmable logic for a superconducting transmon-based quantum computer based on simulated studies. Our approach is multi-stage. We first bootstrap a model based on simulation with access to the full statevector for measuring gate fidelity. We next present an algorithm, named adapted randomized benchmarking (ARB), for fine-tuning the gate on hardware based on measurements of the devices. We also present techniques for deploying the model on programmable devices with care to reduce the required resources. While the techniques here are applied to a transmon-based computer, many of them are por",surrogate,
