arxiv_id,key
2109.00361,paul2021interaction
2109.00961,tarkhov2021transient
2109.00560,egan2021synchronous
2109.00631,zdybel2021stability
2109.00806,bobrov2021spectroscopy
2109.00966,mazanik2021supercurrent
2109.00976,cattaneo2021superconducting
2109.01061,strambini2021superconducting
2109.01096,koshelev2021phenomenological
2109.01119,wang2021magnon
2109.01133,dong2021superconductivity
2109.01336,yang2021spin
2109.01344,bobrov2021reconstruction
2109.01364,gamayunova2021superconductivity
2109.01505,haim2021mechanisms
2109.01724,quan2021mob2
2109.01808,dai2021isochronous
2109.01866,gao2021anomalous
2109.01869,wang2021charge
2109.01966,kogan2021pearl
2109.02208,liu2021breached
2109.02300,nielsen2021readout
2109.02313,ma2021design
2109.02330,bauer2021phase
2109.02407,contreras2021dressed
2109.02420,nguyen2021asymptotic
2109.02604,fareed2021critical
2109.02612,homann2021terahertz
2109.02635,wu2021non
2109.02664,simon2021higher
2109.02685,yu2021euler
2109.03868,watanabe2021operator
2109.02821,boubeche2021anomalous
2109.02824,antony2021miniaturizing
2109.02864,khan2021first
2109.02918,sumita2021superconductor
2109.03031,adebanjo2021superlight
2109.03055,reutlinger2021universal
2109.03135,weisbrich2021tensor
2109.03169,zlotnikov2021aspects
2109.08517,hirsch2021faulty
2109.03231,manna2021higher
2109.03281,choudhury2021analysis
2109.03368,motla2021probing
2109.03382,bai2021band
2109.03461,chazono2021superconducting
2109.03499,nyari2021relativistic
2109.03811,castro2021superconductivity
2109.03851,konig2021triplet
2109.03982,kang2021detecting
2109.04122,ikeda2021superconductivity
2109.04279,tam2021charge
2109.04329,amundsen2021magnonic
2109.04345,cea2021superconductivity
2109.04466,szabo2021metals
2109.04473,hochberg2021directional
2109.04480,labollita2021electronic
2109.04492,chen2021spin
2109.04669,you2021kohn
2109.04670,yang2021topological
2109.04694,zhang2021majorana
2109.04788,aikebaier2021controlling
2109.04796,bag2021interference
2109.04931,paudyal2021superconducting
2109.05202,he2021evidence
2109.05231,he2021gutzwiller
2109.05258,mironov2021giant
2109.05450,liao2021coexistence
2109.05511,park2021spin
2109.05519,huang2021superconductivity
2109.05577,zhang2021observation
2109.05761,ren2021strain
2109.05851,anwar2021review
2109.05982,khokhlov2021pauli
2109.06000,iskin2021effective
2109.06039,zeng2021pseudospin
2109.06285,wang2021andreev
2109.06334,shrestha2021emergent
2109.06454,shioda2021determination
2109.06460,zhang2021ultrafast
2109.06774,wyss2021magnetic
2109.06894,crawford2021majorana
2109.06959,chen2021topological
2109.06983,badger2021dirac
2109.07010,yoshida2021exact
2109.07051,song2021high
2109.07066,sayeed2021effect
2109.07167,mitobe2021superconductivity
2109.07520,zyuzin2021preformed
2109.07608,cho2021intermediate
2109.07616,giannetta2021london
2109.07654,gu2021superconductivity
2109.07660,wang2021development
2109.07762,chen2021scattering
2109.07766,chen2021scatteringa
2109.07961,spina2021internal
2109.08070,fu2021terahertz
2109.08093,li2021fractionalization
2109.08142,song2021doping
2109.08200,hou2021zero
2109.08361,kim2021quasiparticle
2109.08498,kamlapure2021anisotropic
2109.08679,jotzu2021superconducting
2109.08700,puig2021bridge
2109.08812,hoshi2021extremely
2109.08845,kobayashi2021spontaneous
2109.09121,ido2021data
2109.09321,ren2021quantum
2109.09726,pan2021superconductivity
2109.09786,altawhid2021coexistence
2109.09898,wang2021little
2109.09971,chu2021fano
2109.09976,lin2021proximity
2109.10019,gubler2021missing
2109.10043,browne2021stability
2109.10079,cao2021characteristic
2109.10157,jurkutat2021pressure
2109.10166,khasanov2021isotropic
2109.10186,datta2021spectroscopic
2109.10201,ilic2021current
2109.10247,kempa2021enhancing
2109.10263,velasco2021kuramoto
2109.10335,fujii2021effective
2109.10527,sharma2021snas
2109.10712,bhattacharyya2021superconducting
2109.10728,xu2021superconductivity
2109.10809,jiang2021kagome
2109.10851,zhao2021first
2109.10878,hirsch2021absence
2109.11102,yang2021theory
2109.11122,li2021free
2110.09270,nikulov2021comment
2109.11275,costa2021enhancing
2109.11286,yu2021evolution
2109.11478,gong2021superconductivity
2109.11521,lim2021creating
2109.11570,ma2021dynamic
2109.11742,tai2021anomalous
2109.11799,harada2021revised
2109.11824,egusquiza2021role
2109.11914,huang2021review
2109.11995,sykora2021renormalization
2109.12127,kim2021spectroscopic
2109.12231,konev2021phase
2109.12329,pandeya2021emergence
2109.12446,cho2021multi
2109.12476,wang2021unified
2109.12522,hagiwara2021superconducting
2109.12631,turkel2021twistons
2109.12794,hu2021spin
2109.12811,wang2021pressure
2109.12898,caputo2021abelian
2109.13019,mitrofanov2021orbital
2109.13130,chen2021designing
2109.13140,neuhaussteinmetz2021complex
2109.13181,yao2021half
2109.13207,gastiasoro2021theory
2109.13224,hu2021unconventional
2109.13229,baykusheva2021ultrafast
2109.13245,ghanbari2021going
2109.13276,day2021three
2109.13513,wang2021majorana
2109.13598,keenan2021determining
2109.13712,brei2021supercurrents
2109.13758,greco2021flux
2109.13944,oh2021evidence
2109.14031,du2021atomic
2109.14032,elmassalami2021quantum
2109.14033,du2021visualizing
2109.14092,conradson2021correlation
2109.14300,zhu2021high
2109.14426,ishida2021pairing
2109.14440,biborski2021correlation
2109.14505,tajima2021optical
2109.14585,gerasimenko2021spatially
2109.14590,dash2021heat
2109.14629,zhang2021topological
2109.14866,watanabe2021nonreciprocal
2109.14874,watanabe2021nonreciprocala
2109.14924,fasolo2021bimodal
2109.14973,malshukov2021interaction
2109.15071,latorre2021chip
2109.15202,nakata2021optomagnonic
2109.15213,pei2021pressure
2109.15227,chiu2021yu
2109.15307,ning2021enforced
2109.15312,yue2021pairing
2110.00105,rawal2021phonon
2110.00131,kim2021multiple
2110.00264,uchida2021ubiquitous
2110.00289,gan2021magneto
2110.00369,pugach2021superconducting
2110.00463,matsushita2021spin
2110.00564,qu2021spin
2110.00573,kubo2021effects
2110.00961,zaanen2021lectures
2110.01003,gidopoulos2021enhanced
2110.01067,diezmerida2021magnetic
2110.01090,singh2021high
2110.01136,xiong2021experimental
2110.01178,dogan2021high
2110.01305,lap2021characterization
2110.01586,hochberg2021new
2110.01642,kumar2021spin
2110.01713,rumann2021density
2110.01724,malekakhlagh2021optimization
2110.01819,ishihara2021tuning
2110.01870,khasanov2021three
2110.02025,krenkel2021possible
2110.02053,blair2021critical
2110.02087,mironov2021collective
2110.02238,wong2021shot
2110.02263,timberlake2021probing
2110.02275,maccari2021uniformly
2110.02464,chauhan2021anomalously
2110.02734,sanayei2021cooper
2110.02812,he2021robust
2110.02866,catelani2021ac
2110.02968,choi2021pairing
2110.03640,kang2021local
2110.03704,michael2021generalized
2110.03710,yu2021theory
2110.03867,song2021spatially
2111.06716,mishonov2021influence
2110.04288,nomura2021fermi
2110.04472,lu2021identifying
2110.04958,matano2021antiferromagnetic
2110.05143,fischer20214
2110.05212,li2021universal
2110.05235,matsuyama2021excitations
2110.05288,bespalov2021impurity
2110.05300,bespalov2021large
2110.05333,cataldo2021high
2110.05361,xiao2021dispersionless
2110.05373,wang2021nonlocal
2110.05452,philip2021bi
2110.05513,lozano2021testing
2110.05620,banerjee2021charge
2110.05652,yilmaz2021spectroscopic
2110.05677,llovo2021vortex
2110.05813,oike2021real
2110.05921,ramjan2021strong
2110.06175,philippe2021elasto
2110.06200,rosa2021single
2110.06266,zhou2021chern
2110.06415,guan2021honeycomb
2110.06417,ren2021oxygen
2110.06563,michon2021spectral
2110.06666,martinelli2021fractional
2110.06772,gabriele2021generalized
2110.06845,sun2021pairing
2110.06959,takasan2021supercurrent
2110.07230,szot2021filamentary
2110.07251,hen2021superconductor
2110.07335,ummarino2021superconductor
2110.07516,guo20210
2110.07568,hirsch2021clear
2110.07799,semenov2021new
2110.12854,hirsch2021ac
2110.07962,xu2021moire
2110.07963,hohenadler2021thermodynamic
2110.07969,xia2021kibble
2110.07976,rosenstein2021origin
2110.08114,setty2021superconducting
2110.08332,zhou2021topological
2110.08550,makarov2021enhanced
2110.08757,phat2021triplet
2110.08937,shen2021role
2110.09046,iakutkina2021charge
2110.09056,du2021superconductivity
2110.09064,yang2021evaluation
2110.09093,keren2021stiffness
2110.09335,dutta2021magnetic
2110.09379,bag2021negative
2110.09496,he2021bcs
2110.09530,kozii2021synergetic
2110.09552,bellitti2021incoherent
2110.09675,ishida2021superconductivity
2110.09691,sousa2021vacancy
2110.09715,liu2021quasi
2110.09782,shi2021new
2110.09809,costa2021ising
2110.09816,ptok2021dynamical
2110.09825,kuderowicz2021effect
2110.10039,liu2021universal
2110.10094,chen2021evolution
2110.10172,schrade2021nematic
2110.10226,whitt2021magnetic
