10994 rows; 0 cached; fetching 10994
  50/10994  resolved so far 10961
  100/10994  resolved so far 10936
  150/10994  resolved so far 10910
  200/10994  resolved so far 10879
  250/10994  resolved so far 10848
  300/10994  resolved so far 10822
  350/10994  resolved so far 10799
  400/10994  resolved so far 10775
  450/10994  resolved so far 10755
  500/10994  resolved so far 10733
  550/10994  resolved so far 10715
  600/10994  resolved so far 10694
  650/10994  resolved so far 10667
  700/10994  resolved so far 10638
  750/10994  resolved so far 10612
  800/10994  resolved so far 10590
  850/10994  resolved so far 10568
  900/10994  resolved so far 10550
  950/10994  resolved so far 10533
  1000/10994  resolved so far 10509
  1050/10994  resolved so far 10491
  1100/10994  resolved so far 10471
  1150/10994  resolved so far 10446
  1200/10994  resolved so far 10431
  1250/10994  resolved so far 10411
  1300/10994  resolved so far 10391
  1350/10994  resolved so far 10372
  1400/10994  resolved so far 10355
  1450/10994  resolved so far 10331
  1500/10994  resolved so far 10309
  1550/10994  resolved so far 10288
  1600/10994  resolved so far 10272
  1650/10994  resolved so far 10258
  1700/10994  resolved so far 10248
  1750/10994  resolved so far 10247
  1800/10994  resolved so far 10237
  1850/10994  resolved so far 10233
  1900/10994  resolved so far 10225
  1950/10994  resolved so far 10219
  2000/10994  resolved so far 10216
  2050/10994  resolved so far 10205
  2100/10994  resolved so far 10199
  2150/10994  resolved so far 10188
  2200/10994  resolved so far 10184
  2250/10994  resolved so far 10179
  2300/10994  resolved so far 10175
  2350/10994  resolved so far 10170
  batch failed (The read operation timed out); retry 1
  2400/10994  resolved so far 10164
  2450/10994  resolved so far 10157
  2500/10994  resolved so far 10153
  2550/10994  resolved so far 10147
  2600/10994  resolved so far 10143
  2650/10994  resolved so far 10133
  2700/10994  resolved so far 10123
  2750/10994  resolved so far 10112
  2800/10994  resolved so far 10108
  2850/10994  resolved so far 10104
  2900/10994  resolved so far 10100
  2950/10994  resolved so far 10090
  3000/10994  resolved so far 10085
  3050/10994  resolved so far 10077
  3100/10994  resolved so far 10069
  3150/10994  resolved so far 10064
  3200/10994  resolved so far 10057
  3250/10994  resolved so far 10052
  3300/10994  resolved so far 10047
  3350/10994  resolved so far 10043
  3400/10994  resolved so far 10038
  3450/10994  resolved so far 10033
  3500/10994  resolved so far 10026
  3550/10994  resolved so far 10024
  3600/10994  resolved so far 10017
  3650/10994  resolved so far 10013
  3700/10994  resolved so far 10006
  3750/10994  resolved so far 10002
  3800/10994  resolved so far 9999
  3850/10994  resolved so far 9997
  3900/10994  resolved so far 9993
  3950/10994  resolved so far 9989
  4000/10994  resolved so far 9987
  4050/10994  resolved so far 9982
  4100/10994  resolved so far 9979
  4150/10994  resolved so far 9976
  4200/10994  resolved so far 9968
  4250/10994  resolved so far 9958
  4300/10994  resolved so far 9956
  4350/10994  resolved so far 9951
  4400/10994  resolved so far 9947
  4450/10994  resolved so far 9946
  4500/10994  resolved so far 9943
  4550/10994  resolved so far 9939
  4600/10994  resolved so far 9935
  4650/10994  resolved so far 9930
  4700/10994  resolved so far 9924
  4750/10994  resolved so far 9915
  4800/10994  resolved so far 9894
  batch failed (The read operation timed out); retry 1
  4850/10994  resolved so far 9875
  4900/10994  resolved so far 9853
  4950/10994  resolved so far 9832
  5000/10994  resolved so far 9817
  5050/10994  resolved so far 9802
  5100/10994  resolved so far 9791
  5150/10994  resolved so far 9772
  5200/10994  resolved so far 9755
  5250/10994  resolved so far 9742
  5300/10994  resolved so far 9731
  5350/10994  resolved so far 9721
  5400/10994  resolved so far 9708
  5450/10994  resolved so far 9699
  5500/10994  resolved so far 9688
  5550/10994  resolved so far 9679
  5600/10994  resolved so far 9665
  5650/10994  resolved so far 9655
  5700/10994  resolved so far 9633
  5750/10994  resolved so far 9617
  5800/10994  resolved so far 9607
  5850/10994  resolved so far 9595
  5900/10994  resolved so far 9589
  5950/10994  resolved so far 9577
  6000/10994  resolved so far 9570
  6050/10994  resolved so far 9554
  6100/10994  resolved so far 9545
  6150/10994  resolved so far 9534
  6200/10994  resolved so far 9524
  6250/10994  resolved so far 9509
  6300/10994  resolved so far 9498
  6350/10994  resolved so far 9490
  6400/10994  resolved so far 9477
  6450/10994  resolved so far 9460
  6500/10994  resolved so far 9450
  6550/10994  resolved so far 9433
  6600/10994  resolved so far 9418
  6650/10994  resolved so far 9406
  6700/10994  resolved so far 9390
  6750/10994  resolved so far 9381
  6800/10994  resolved so far 9370
  6850/10994  resolved so far 9359
  6900/10994  resolved so far 9338
  6950/10994  resolved so far 9307
  7000/10994  resolved so far 9270
  7050/10994  resolved so far 9236
  7100/10994  resolved so far 9204
  7150/10994  resolved so far 9174
  7200/10994  resolved so far 9155
  7250/10994  resolved so far 9126
  7300/10994  resolved so far 9106
