arxiv_id,title,year,pub_date,primary_cat,all_cats,authors,doi,journal_ref,url,summary,source,cluster,family,task,ai_method,cited_by,venue,oa_doi,oa_authors,oa_fetched
2609.04421,HELIX: a hybrid envelope-multiparticle linac code with differentiable space-charge optimization,2026,2026-09-03 19:38:12,physics.acc-ph,physics.acc-ph,Abhishek Pathak,,,https://arxiv.org/abs/2609.04421,"HELIX (Hybrid Envelope-multiparticle LInac eXplorer) is a Python hadron-linac framework developed at Fermilab for the PIP-II superconducting H- linac. It combines exact-gradient matching through a self-consistent nonlinear particle-in-cell (PIC) space-charge solve with the lattice-card workflow used for machine design. One TraceWin-format lattice drives an rms-envelope solver with 3-D linearized space charge, a multiparticle tracker with a 3-D FFT PIC solve, and linear matrix analysis over one data model, and the constraint cards that steer six classical matching algorithms also steer a differentiable seventh, which re-expresses a fixed-energy subset of the tracking-plus-PIC map as a single PyTorch graph and returns reverse-mode Jacobians exact to floating-point precision at a cost set by the number of constraints rather than of knobs. On a six-quadrupole manufactured verification problem the exact-Jacobian run reaches a tolerance-normalized residual of $3.2\times10^{-10}$, some 200 times below the finite-difference endpoint at the same forward-equivalent budget; the Jacobian cost is flat in the knob count, with the crossover between ten and twelve knobs and reverse mode 1.45 times faster at sixteen. Verification is hierarchical, from analytic envelope references through $10^{-9}$-$10^{-13}$ cross-implementation PIC parity to TraceWin benchmarks on the PIP-II low-energy, medium-energy and accelerating lines: with space charge on, the rms moments along the MEBT and half-wave-resonator line agree within 0.7%, and over the 186-m linac the energy agrees within 0.03% and transmission within the combined statistical uncertainty. HELIX also provides machine-learned field-map surrogates, Pareto exploration, error Monte Carlo with orbit correction, failure compensation, and RFQ transport, with NumPy, C++/OpenMP, CUDA and Metal backends.",supplement_t1,,general,theory,surrogate,,,,,2026-09-07
2608.23333,First-Principles Electron-Magnon Coupling with Machine-Learning Hamiltonians: From Band Renormalization to Transport,2026,2026-08-24 14:45:35,physics.comp-ph,physics.comp-ph,Shixu Liu and Xingding Li and Haozhe Li and Yang Zhong and Hongjun Xiang and Xin-Gao Gong and Ji-Hui Yang,,,https://arxiv.org/abs/2608.23333,"In analogy to electron-phonon coupling (EPC), electron-magnon coupling (EMC) is expected to shape electronic structure, transport, and possibly unconventional superconductivity in magnetic materials. However, unlike EPC, which is now routinely treated within first-principles frameworks, a quantitative description of EMC, especially for transport, remains elusive because of the lack of theoretical formalism. Consequently, even for elemental iron, EPC-only calculations miss both the magnitude and the $T^2$ component of resistivity. This discrepancy has long been attributed to EMC, although direct computational evidence has been lacking and the underlying transport mechanism remains unresolved. Here we develop a unified first-principles formalism for EMC in collinear magnetic systems within many-body perturbation theory, complemented by machine-learning spinful Hamiltonians that supply quantities not directly accessible from conventional first-principles methods. Our framework enables ab initio transport calculations including EMC effects for the first time. Applied to ferromagnetic $α$-Fe, our approach yields electron spectral functions consistent with previous studies. More importantly, we recover the full $T^2$ component of resistivity with a coefficient in quantitative agreement with measurement and reveal that the $T^2$ component cannot be attributed solely to EMC, as has long been assumed, but is dominated by the strong EPC-EMC interplay. Extending to antiferromagnetic K-doped $\mathrm{BaMn_2As_2}$, our method captures the ARPES-observed magnon-induced kink and a large EMC strength of $\sim 3$ comparable to experimental measurements, demonstrating the generality of the framework. Our work closes a longstanding gap in the quantitative understanding of transport in magnetic systems and provides a predictive foundation for examining magnon-mediated phenomena.",supplement_t1,,conv,abinitio,surrogate,0,,10.48550/arxiv.2608.23333,Shixu Liu and Xingding Li and Haozhe Li and Yang Zhong and Hongjun Xiang and Xin-Gao Gong and Ji-Hui Yang,2026-09-07
2608.22475,Quantum-Inspired Hybrid Neural Networks for Neural Decoding: A Controlled Ablation Study of Learnable Quantum Sidecar Integration,2026,2026-08-23 15:55:43,cs.LG,cs.LG;quant-ph,Diana Legziel Levy and Menachem Finkelstein and Peter Chin and Eilon Vaadia and Sarel Cohen,,,https://arxiv.org/abs/2608.22475,"We study parameterized quantum circuits (PQCs) integrated as residual sidecar modules within a ResNet-50 backbone for 31-class neural population decoding---imagined handwriting classification from multi-neuron spike rasters. Under strictly controlled conditions (fixed data splits, seeds, and optimizer), we compare four model variants: baseline, quantum sidecar with frozen input projection, quantum sidecar with backbone-gradient-trained projection, and a measurement-guided variant that aligns angle encodings with circuit measurement outcomes. The backbone-gradient variant improves accuracy in 3/4 seeds (+0.19% mean, 95% CI [-1.10%, +1.48%]) and consistently reduces Linear CKA similarity to baseline features ($Δ=-0.025$, 4/4 seeds), indicating genuine structural reorganization of representations. A nine-variant ablation identifies simple shallow architectures as the most effective and reproducible configuration. Measurement-guided training consistently improves representation geometry without reducing accuracy. All results use noiseless statevector simulation on 4 qubits, a regime chosen to reflect the practical constraints of current near-term superconducting hardware; no quantum computational advantage over classical methods is claimed.",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2608.22475,Diana Legziel Levy and Menachem Finkelstein and Peter Chin and Eilon Vaadia and Sarel Cohen,2026-09-07
2608.20076,Shadow models of a quantum model for cloud cover and the influence of finite sampling noise,2026,2026-08-20 14:07:11,quant-ph,quant-ph,Hedwig Keller and Mierk Schwabe and Veronika Eyring,,,https://arxiv.org/abs/2608.20076,"Quantum computing is a quickly growing field that is promising various advantages compared to conventional computing. However, currently stand-alone quantum applications are scarce and hybrid (quantum-classical) computing is needed, especially in quantum machine learning (QML). Due to current limitations of quantum computing hardware and the coupling between HPC and quantum devices, integrating a trained (QML) model in classical applications is challenging. In this case, it is helpful to couple so-called shadows of the QML model instead, i.e., classical models that imitate the input-output relations of QML models such that quantum resources are only needed during the training stage. Here we consider constructive shadowing processes without an explicit training or regression stage to avoid rendering the QML model redundant, and apply them to a previously developed QML model for cloud cover [1] to allow for an efficient coupling to a climate model. We compare classical interpolation methods to an approximation of the quantum Fourier model, the representation of the circuit as a partial Fourier series. The encoding strategy in [1] allows the use of the discrete Fourier transform to efficiently reconstruct the circuits classically. Truncating the partial Fourier series further reduces the size of the shadow models. Both methods have the effect of mitigating finite sampling noise under certain conditions, which yields a motivation to use shadow models also beyond the era of limited hardware availability. Further, we compute the shadow models on the quantum system Euro-Q-Exa, based on the IQM Radiance system with superconducting qubits, where error mitigating effects can also be observed, albeit it is still difficult to distinguish them from errors connected to the calibration of the system.",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2608.20076,Hedwig Keller and Mierk Schwabe and Veronika Eyring,2026-09-07
2608.07806,A Universal Entanglement Witness Generator,2026,2026-08-07 23:05:13,quant-ph,quant-ph,Aiden R. Rosebush and Alexander C. B. Greenwood and Andi Shahaj and Li Qian,,,https://arxiv.org/abs/2608.07806,"Entanglement witnesses are essential for certifying entanglement, yet constructing ones that are both noise-robust and economical in measurement settings remains challenging - particularly beyond qubits and for non-stabilizer (""magic"") states. We present a machine-learning method that, given a target state and a user-specified number of measurement settings, generates an entanglement witness optimized for noise tolerance in the neighborhood of that state, requiring only local measurements. The approach is fully general, applying to multipartite qubit and qudit systems alike, including non-stabilizer states. For N qudits of dimension d, we train on the fully-separable eigenstates of each qudit's SU(d) generators to find a prototype witness, then tune the witness's bias term via gradient descent to maximize noise tolerance. Adversarial training further strengthens the witnesses, delivering greater noise tolerance with even fewer settings; critically, under this scheme the required training-set size becomes independent of system size. We package the entire pipeline as an automated script that, in every case we tested, produces witnesses surpassing all existing methods in noise tolerance and/or number of measurement settings. We demonstrate the method on Bell, GHZ, W, and hypergraph states, along with a range of qudit states, spanning 2-6 qubits, bipartite qudits up to d=10, and tripartite qutrits. Our witnesses achieve perfect accuracy across both physical experimental test states and large numerical sets of separable mixed states-including 30 million test states for a 3-qubit W-state witness and 10 million for a 4-qubit hypergraph-state witness-and we experimentally confirm the noise tolerance of Bell- and hypergraph state witnesses on both photonic and superconducting platforms, respectively.",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2608.07806,Aiden R. Rosebush and Alexander C. B. Greenwood and Andi Shahaj and Li Qian,2026-09-07
2607.22704,Visible-Light Imaging Diagnosis of Neutral Particle Emission Tomography in the Tokamak Divertor: An Efficient Transformer-based Surrogate Model,2026,2026-07-19 16:06:32,cs.CV,cs.CV;cs.AI;cs.LG,Xiao Wang and Hao Si and Qiang Chen and Yu-Xiang Zhang and Beihe Zhang and Jianhua Yang and Qingquan Yang and Dengdi Sun and Wanli Lyu and Guosheng Xu and Jin Tang,,,https://arxiv.org/abs/2607.22704,"Nuclear fusion has made significant progress in recent years and is expected to become one of the most important pathways to addressing global energy challenges. This paper focuses on observing plasma using visible-light cameras, analyzing its spatio-temporal motion cues, and predicting the two-dimensional spatial distribution of light intensity, aiming to provide a foundational basis for future scientific experiments using deep neural networks. Specifically, we propose Delta-InvFormer, a novel backbone network centered on a differential Transformer. The key insight is that by taking consecutive video frames as input, we can better capture the dynamics of the plasma. Moreover, spatial and temporal differential self-attention effectively mitigates interference from noisy signals, ensuring high-quality feature extraction. These features are then fused into a compact and informative representation, which is fed into a decoder network to predict the distribution. Based on real experimental data collected from the Experimental Advanced Superconducting Tokamak (EAST) large-scale scientific facility, our results demonstrate that the proposed model not only significantly accelerates traditional methods for distribution prediction but also achieves competitive reconstruction accuracy. The source code of this paper will be released on https://github.com/Event-AHU/OpenFusion",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2607.22704,Xiao Wang and Hao Si and Qiang Chen and Yu-Xiang Zhang and Beihe Zhang and Jianhua Yang and Qingquan Yang and dengdi sun and Wanli Lyu and Guosheng Xu and Jin Tang,2026-09-07
2607.16183,A Blueprint for Equilibrium-Based Differentiable Continuous-Variable Thermodynamic Computing,2026,2026-07-17 17:57:49,cs.LG,cs.LG;cs.ET;physics.app-ph,Owen Lockwood and Jérémy Béjanin and Joost Bus and Christopher Chamberland and Patrick Huembeli and Frank Schäfer and Guillaume Verdon,,,https://arxiv.org/abs/2607.16183,"To help address the escalating energy and latency demands of machine-learning workloads, we introduce a blueprint for an energy-efficient and fast thermodynamic computing stack that leverages stochastic analog processes in physical hardware. In this work, we focus on energy-based thermodynamic computing where the stochastic process is well described by Langevin dynamics with tunable energy potentials. The implementation of such potentials in physical hardware enables us to generate and sample from basic parameterized energy-based models. We demonstrate how to construct and train popular classes of machine learning models based on these hardware-native energy-based models, using the framework of probabilistic graphical models. We analyze the runtime and energy consumption of different models in this thermodynamic paradigm based on theoretical considerations and numerical studies. As a preliminary experimental realization of such hardware, we present our stochastic analog superconducting circuits driven by thermal noise. Together, these results outline a path toward energy-efficient thermodynamic hardware for probabilistic machine learning.",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2607.16183,Owen Lockwood and Jérémy Béjanin and Joost Bus and Christopher Chamberland and Patrick Huembeli and Frank Schäfer and Guillaume Verdon,2026-09-07
2607.14949,Avoiding Dilution: Using Diffusion and Vision Transformers to resolve Majorana Features in Nanowires at High Temperature,2026,2026-07-16 12:57:46,cond-mat.mes-hall,cond-mat.mes-hall;cond-mat.dis-nn,Jacob R. Taylor and Haining Pan and Jay D. Sau and Sankar Das Sarma,,,https://arxiv.org/abs/2607.14949,"Identifying Majorana zero modes in semiconductor--superconductor nanowires requires ultra-low temperature transport measurements in dilution refrigerators, making device screening slow and resource-intensive. Here, we investigate whether high-temperature conductance data can be used to infer low-temperature Majorana nanowire properties before committing devices to dilution-refrigerator characterization. We generate paired high- and low-temperature conductance simulations for disordered Majorana nanowires and train neural networks to perform two related tasks. First, we use a Shifted Window U-Net Transformer diffusion-inspired architecture to reconstruct low-temperature conductance from thermally broadened high-temperature measurements, achieving high-fidelity recovery with $R^2 \approx {0.95}$ for local conductance and $R^2 \approx {0.91}$ for nonlocal conductance. Second, we train a Video Vision Transformer-based network to predict the low-temperature topological visibility directly from high-temperature conductance, obtaining $R^2 \approx {0.80}$. These results demonstrate that machine-learning models can recover and infer low-temperature Majorana features from experimentally easier high-temperature data, providing a practical route for rejecting poor devices early thus avoiding slow and resource-intensive dilution refrigeration for non-promising devices. This high-temperature screening approach could substantially accelerate the experimental feedback loop for Majorana nanowire device development.",supplement_t1,,topo,discovery,surrogate,0,,10.48550/arxiv.2607.14949,Jacob R. Taylor and Haining Pan and Jay D. Sau and Sankar Das Sarma,2026-09-07
2607.14293,Real-Time Detection of Charge Jumps in Superconducting Qubits with a Convolutional Neural Network,2026,2026-07-15 18:56:46,quant-ph,quant-ph;cs.LG,Daniel Gaytan-Villarreal and Peter Meiring and Daniel Baxter and Daniel Bowring and Grace Bratrud and Matteo Cremonesi and Giuseppe Di Guglielmo and Grace Wagner and Bowen Xiao,,,https://arxiv.org/abs/2607.14293,"Ionizing radiation from cosmic rays and gammas can induce discontinuous jumps in the environmental charge of superconducting qubits (charge jumps), causing correlated errors that challenge fault-tolerant quantum computing while simultaneously providing a detection signature for quantum sensing applications. Current detection methods operate offline, introducing latency incompatible with in-the-loop qubit control. In this paper, an online detector of charge jumps for superconducting qubits, based on a dilated causal convolutional neural network (DCCNN) designed for in-the-loop deployment on the Quantum Instrumentation Control Kit (QICK) platform, is presented. The network is trained on synthetic Ramsey tomography scans generated from qubit templates measured at the Northwestern Experimental Underground Site (NEXUS) at Fermilab, and translated to FPGA firmware via hls4ml with ap_fixed$\langle 16,6 \rangle$ quantization, reaching a per-inference latency of $6.19 μ$s on the Zynq UltraScale+ RFSoC ZCU216. At this operating point the DCCNN matches the detection efficiency of the established offline $χ^2$ algorithm ($0.843 \pm 0.022$ vs. $0.866 \pm 0.020$ on $|Δq| \in [0.1, 0.5] e$ at matched false-positive rate), while requiring no per-qubit hyperparameter tuning. This shifts charge-jump detection from a post-hoc diagnostic to a control-loop primitive, enabling adaptive protocols that respond to radiation-induced events in situ, with applications to quantum-computing error mitigation and to the use of superconducting qubits as particle detectors.",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2607.14293,Daniel Gaytan-Villarreal and Peter Meiring and Daniel Baxter and Daniel Bowring and G. Bratrud and Matteo Cremonesi and Giuseppe Di Guglielmo and Grace Wagner and Bowen Xiao,2026-09-07
2607.12996,Expressibility and trainability of a two-dimensional pairwise quantum-circuit ansatz,2026,2026-07-14 17:47:25,quant-ph,quant-ph,Shuai Zhang and Wei Liu and Ji-Chong Yang,,,https://arxiv.org/abs/2607.12996,"Parameterized quantum circuits~(PQCs) constitute a central building block of variational quantum algorithms~(VQAs) and quantum machine learning~(QML) methods. Existing ansatz designs often adopt hardware-agnostic or simplified 1D chain/ring entanglement patterns. However, as quantum hardware continues to develop, native 2D connectivity patterns, such as planar superconducting-qubit architectures, are becoming increasingly important. Inspired by this hardware structure, we construct a native 2D pairwise ansatz and compare its expressibility and trainability with representative 1D ansatze at identical layer depths, despite their different circuit depths. For the fixed 16-qubit system, the 2D ansatz has the smallest KL divergence at $L=1$ and $2$, and its second-order frame potential approaches the theoretical lower bound more rapidly at shallow layer counts than the frame potentials of the three 1D ansatze. We also evaluate the gradient variance of the Pauli-$Z$-string expectation value $\langle Z_0\otimes\cdots\otimes Z_{15}\rangle$ with respect to the first $R_y$ angle. For this Pauli-$Z$ string and fixed parameter, the gradient variance is smaller for the 2D circuit at $L=1$--$4$. The differences narrow at $L=5$, and the four ansatze yield statistically compatible variances at $L=6$.",supplement_t1,,device,application,surrogate,0,,10.48550/arxiv.2607.12996,Shuai Zhang and Wei Liu and Ji-Chong Yang,2026-09-07
